player_role,emblem_colour,emblem_stat,all_player_average,all_player_stddev,top_player_average,top_player_stddev
Core,Green,Teamfight Participation,1042.2034438737326,243.94339043292464,1019.5540660364843,233.45287370588622
Core,Green,Tormentor Kills,580.535116327706,524.5837713869901,893.0203397180787,602.9869893641576
Core,Green,Roshan Kills,464.616327334185,678.1377043945284,814.1554375827426,942.5738475205494
Core,Green,Stuns,415.32802741418357,367.87751426737407,400.47098015044264,361.1445814236336
Core,Green,First Blood,190.08862506912251,539.8168290695069,203.11253018431387,548.1263345499096
Core,Green,Courier Kills,216.21514273563187,488.81053535773833,152.41121619480256,432.50835920688894
Core,Red,GPM,1219.7815032622386,200.37162692262885,1388.81634431583,224.87927916113165
Core,Red,Creep Score,1011.3649274147652,319.9439945462147,1263.9585131106219,387.4520096119334
Core,Red,Deaths,1012.3832296357092,370.1881652113351,1078.658646640344,330.33739121132385
Core,Red,Neutral Tokens Found,748.8498139019434,380.1793415741254,1042.4642227678482,447.60708744642665
Core,Red,Kills,712.4152260255318,439.59840834630955,927.7950600531309,520.6617779481646
Core,Red,Tower Kills,621.7776268726345,556.0689461407512,870.8626824532989,714.1254518824846
Mid,Blue,Runes Grabbed,1063.0989708170464,462.8645998551851,1249.0713111903656,499.9004471277674
Mid,Blue,Camps Stacked,331.35844151029056,329.1941962904658,293.0713055601675,273.78582127550027
Mid,Blue,Wards Placed,165.98576810530938,76.73311136888883,144.51809836794044,84.29123291877605
Mid,Blue,Watchers Taken,86.54957199009307,96.64511447280663,124.9953437480749,118.95781552575167
Mid,Blue,Lotuses Grabbed,110.55650593519192,252.805570250628,84.1079690896365,171.6751716462171
Mid,Blue,Smokes Used,29.6594055176171,72.42686254181838,39.812170919027935,90.80827883492668
Mid,Green,Teamfight Participation,1131.8372105221902,228.03842062012257,1168.2502160438248,200.22344419555452
Mid,Green,Stuns,535.3884237802205,543.025080544129,744.4008990628854,785.8423062559123
Mid,Green,Courier Kills,265.3664773451153,587.7775541341255,310.2490325072338,606.8547901484574
Mid,Green,Tormentor Kills,304.44975451305635,416.82680962463,308.8986958075095,425.91844497531633
Mid,Green,Roshan Kills,253.74193179324993,524.4259606297298,236.20786154830608,489.3480109475656
Mid,Green,First Blood,136.6622592494069,461.8848561208773,187.97812319186224,512.7813202386943
Mid,Red,GPM,1168.4114727802357,190.85737582413137,1228.9839027785533,193.46861651257728
Mid,Red,Creep Score,976.7120883486267,335.5061786185545,1020.6570225067353,348.61969939108036
Mid,Red,Deaths,1024.3793292328976,356.7437165107643,1007.3880353379546,372.84776837846204
Mid,Red,Kills,827.0930612546595,501.22115270589404,943.7522563370064,527.5218496946859
Mid,Red,Neutral Tokens Found,601.8800983431654,370.89765039111234,521.9803070761282,355.36410715286604
Mid,Red,Tower Kills,455.5912198784316,485.1386443331322,505.46736694466824,581.1577118963105
Support,Blue,Wards Placed,918.5016455869542,350.3655244660284,1311.3486033062172,485.8983075085295
Support,Blue,Smokes Used,836.227113103866,427.1369521789888,1227.1819877959956,497.1740422547284
Support,Blue,Watchers Taken,549.8439502198448,280.89819037996625,780.9307072338393,354.5820506683216
Support,Blue,Lotuses Grabbed,557.7755957564308,560.6414577885528,771.8263040859221,646.9104871071532
Support,Blue,Runes Grabbed,539.7663814093843,287.4855045781368,598.3228120235805,295.2261296887954
Support,Blue,Camps Stacked,694.0270437515669,542.586917661794,496.34256913547785,458.8798190352641
Support,Green,Teamfight Participation,1101.5850723742694,198.63460937485112,1045.0294399225597,198.62916326829367
Support,Green,Stuns,501.90250474197046,448.5148123824954,486.2431745485376,397.9313837741525
Support,Green,Tormentor Kills,421.42473966030894,493.6090851433757,469.36985226273475,481.12346006820155
Support,Green,Courier Kills,380.9718033534856,664.7160419576859,358.6788955186544,656.5341806505076
Support,Green,First Blood,209.66600249124306,569.9302616029338,187.83798179702325,547.4872916908461
Support,Green,Roshan Kills,45.66807020961954,203.0411625599525,27.95526820299325,130.69924827850343
